,movie,year,imdb,metascore,votes
1308,Call Me by Your Name,(2017),7.9,93,196181
1309,Wind River,(2017),7.7,73,193490
1310,Ghost in the Shell,(2017),6.3,52,190494
1311,King Arthur: Legend of the Sword,(2017),6.7,41,185646
1312,Mother!,(2017),6.6,75,182526
1313,The Hitman's Bodyguard,(2017),6.9,47,179394
1314,"I, Tonya",(2017),7.5,77,171180
1315,Atomic Blonde,(2017),6.7,63,169100
1316,The Mummy,(2017),5.4,34,167997
1317,Darkest Hour,(2017),7.4,75,163632
1318,Bright,(I) (2017),6.3,29,163258
1319,Valerian and the City of a Thousand Planets,(2017),6.5,51,156210
1320,Baywatch,(2017),5.5,37,154815
1321,American Made,(2017),7.2,65,151986
1322,Logan,(2017),8.1,77,622306
1323,Thor: Ragnarok,(2017),7.9,74,558909
1324,Guardians of the Galaxy Vol. 2,(2017),7.6,67,545388
1325,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,544126
1326,Wonder Woman,(2017),7.4,76,531968
1327,Dunkirk,(2017),7.9,94,524274
1328,Spider-Man: Homecoming,(2017),7.4,73,489766
1329,Get Out,(I) (2017),7.7,85,466732
1330,It,(I) (2017),7.3,69,438591
1331,Blade Runner 2049,(2017),8.0,81,435976
1332,Baby Driver,(2017),7.6,86,417348
1333,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,405413
1334,Justice League,(2017),6.4,45,367660
