,movie,year,imdb,metascore,votes
874,Captain America: The Winter Soldier,(2014),7.7,70,715319
875,Whiplash,(2014),8.5,88,684506
876,The Grand Budapest Hotel,(2014),8.1,88,682929
877,The Imitation Game,(2014),8.0,73,663247
878,X-Men: Days of Future Past,(2014),8.0,75,647804
879,Edge of Tomorrow,(2014),7.9,71,582754
880,Kingsman: The Secret Service,(2014),7.7,60,576533
881,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,562618
882,John Wick,(2014),7.4,68,515517
883,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,462083
884,Ex Machina,(2014),7.7,78,458989
885,Nightcrawler,(2014),7.9,76,444517
886,Lucy,(I) (2014),6.4,61,431267
887,American Sniper,(2014),7.3,72,426938
888,Divergent,(2014),6.7,48,416719
889,Fury,(2014),7.6,64,412603
890,The Amazing Spider-Man 2,(2014),6.6,53,407637
891,The Maze Runner,(2014),6.8,57,406938
892,Dawn of the Planet of the Apes,(2014),7.6,79,405231
893,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,402269
894,Big Hero 6,(2014),7.8,74,398596
895,The Theory of Everything,(2014),7.7,72,387941
896,Godzilla,(2014),6.4,62,368547
897,22 Jump Street,(2014),7.0,71,337572
898,Maleficent,(2014),7.0,56,334889
899,The Fault in Our Stars,(2014),7.7,69,334611
900,Boyhood,(I) (2014),7.9,100,329370
901,The Equalizer,(2014),7.2,57,322933
902,The Lego Movie,(2014),7.7,83,318119
903,The Interview,(II) (2014),6.5,52,300306
904,How to Train Your Dragon 2,(2014),7.8,76,296878
905,Transformers: Age of Extinction,(2014),5.6,32,293748
906,Neighbors,(I) (2014),6.3,68,279502
907,300: Rise of an Empire,(2014),6.2,48,275514
908,Non-Stop,(2014),6.9,56,245573
909,Predestination,(I) (2014),7.5,69,243858
910,Noah,(2014),5.7,68,239055
911,RoboCop,(2014),6.1,52,213009
912,Transcendence,(I) (2014),6.3,42,212868
913,It Follows,(2014),6.8,83,201398
914,Teenage Mutant Ninja Turtles,(2014),5.8,31,197955
915,Chef,(2014),7.3,68,188917
916,Mad Max: Fury Road,(2015),8.1,90,849531
917,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,841976
918,The Martian,(2015),8.0,80,735979
919,Avengers: Age of Ultron,(2015),7.3,66,718450
920,The Revenant,(2015),8.0,76,679910
921,Inside Out,(I) (2015),8.1,94,587964
922,Jurassic World,(2015),7.0,59,566830
923,Ant-Man,(2015),7.3,64,549901
924,The Hateful Eight,(2015),7.8,68,494782
925,Spotlight,(I) (2015),8.1,93,402702
926,Spectre,(I) (2015),6.8,60,374465
927,Sicario,(2015),7.6,82,357593
928,Room,(I) (2015),8.1,86,353519
929,Furious 7,(2015),7.1,67,351981
930,The Big Short,(2015),7.8,81,345432
931,Mission: Impossible - Rogue Nation,(2015),7.4,75,332590
932,Fifty Shades of Grey,(2015),4.1,46,292080
933,Bridge of Spies,(2015),7.6,81,279498
934,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,275274
935,The Man from U.N.C.L.E.,(2015),7.3,56,260265
936,Terminator Genisys,(2015),6.3,38,253429
937,Creed,(II) (2015),7.6,82,240506
938,Chappie,(2015),6.8,41,224957
939,Spy,(2015),7.0,75,224898
940,Maze Runner: The Scorch Trials,(2015),6.3,43,214841
941,Southpaw,(2015),7.4,57,212030
942,The Divergent Series: Insurgent,(2015),6.2,42,211757
943,Focus,(II) (2015),6.6,56,210733
944,The Intern,(I) (2015),7.1,51,210686
945,The Lobster,(2015),7.2,82,207888
946,Minions,(2015),6.4,56,206704
947,San Andreas,(2015),6.0,43,206153
948,Everest,(2015),7.1,64,191877
949,The Witch,(2015),6.9,83,186434
950,Ted 2,(2015),6.3,48,179145
951,Straight Outta Compton,(2015),7.8,72,175221
952,Jupiter Ascending,(2015),5.3,40,174890
953,Tomorrowland,(2015),6.4,60,168902
954,Black Mass,(2015),6.9,68,163893
955,The Danish Girl,(2015),7.1,66,158547
956,Cinderella,(I) (2015),6.9,67,154554
957,Legend,(I) (2015),6.9,55,152480
958,The Age of Adaline,(2015),7.2,51,149661
959,Steve Jobs,(2015),7.2,82,149360
960,Fantastic Four,(2015),4.3,27,148232
961,Mad Max: Fury Road,(2015),8.1,90,849531
962,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,841976
963,The Martian,(2015),8.0,80,735979
964,Avengers: Age of Ultron,(2015),7.3,66,718450
965,The Revenant,(2015),8.0,76,679910
966,Inside Out,(I) (2015),8.1,94,587964
967,Jurassic World,(2015),7.0,59,566830
968,Ant-Man,(2015),7.3,64,549901
969,The Hateful Eight,(2015),7.8,68,494782
970,Spotlight,(I) (2015),8.1,93,402702
971,Spectre,(I) (2015),6.8,60,374465
972,Sicario,(2015),7.6,82,357593
973,Room,(I) (2015),8.1,86,353519
974,Furious 7,(2015),7.1,67,351981
975,The Big Short,(2015),7.8,81,345432
976,Mission: Impossible - Rogue Nation,(2015),7.4,75,332590
977,Fifty Shades of Grey,(2015),4.1,46,292080
978,Bridge of Spies,(2015),7.6,81,279498
979,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,275274
980,The Man from U.N.C.L.E.,(2015),7.3,56,260265
981,Terminator Genisys,(2015),6.3,38,253429
982,Creed,(II) (2015),7.6,82,240506
983,Chappie,(2015),6.8,41,224957
984,Spy,(2015),7.0,75,224898
985,Maze Runner: The Scorch Trials,(2015),6.3,43,214841
986,Southpaw,(2015),7.4,57,212030
987,The Divergent Series: Insurgent,(2015),6.2,42,211757
988,Focus,(II) (2015),6.6,56,210733
989,The Intern,(I) (2015),7.1,51,210686
990,The Lobster,(2015),7.2,82,207888
991,Minions,(2015),6.4,56,206704
992,San Andreas,(2015),6.0,43,206153
993,Everest,(2015),7.1,64,191877
994,The Witch,(2015),6.9,83,186434
995,Ted 2,(2015),6.3,48,179145
996,Straight Outta Compton,(2015),7.8,72,175221
997,Jupiter Ascending,(2015),5.3,40,174890
998,Tomorrowland,(2015),6.4,60,168902
999,Black Mass,(2015),6.9,68,163893
1000,The Danish Girl,(2015),7.1,66,158547
1001,Cinderella,(I) (2015),6.9,67,154554
1002,Legend,(I) (2015),6.9,55,152480
1003,The Age of Adaline,(2015),7.2,51,149661
1004,Steve Jobs,(2015),7.2,82,149360
1005,Fantastic Four,(2015),4.3,27,148232
1006,Mad Max: Fury Road,(2015),8.1,90,849531
1007,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,841976
1008,The Martian,(2015),8.0,80,735979
1009,Avengers: Age of Ultron,(2015),7.3,66,718450
1010,The Revenant,(2015),8.0,76,679910
1011,Inside Out,(I) (2015),8.1,94,587964
1012,Jurassic World,(2015),7.0,59,566830
1013,Ant-Man,(2015),7.3,64,549901
1014,The Hateful Eight,(2015),7.8,68,494782
1015,Spotlight,(I) (2015),8.1,93,402702
1016,Spectre,(I) (2015),6.8,60,374465
1017,Sicario,(2015),7.6,82,357593
1018,Room,(I) (2015),8.1,86,353519
1019,Furious 7,(2015),7.1,67,351981
1020,The Big Short,(2015),7.8,81,345432
1021,Mission: Impossible - Rogue Nation,(2015),7.4,75,332590
1022,Fifty Shades of Grey,(2015),4.1,46,292080
1023,Bridge of Spies,(2015),7.6,81,279498
1024,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,275274
1025,The Man from U.N.C.L.E.,(2015),7.3,56,260265
1026,Terminator Genisys,(2015),6.3,38,253429
1027,Creed,(II) (2015),7.6,82,240506
1028,Chappie,(2015),6.8,41,224957
1029,Spy,(2015),7.0,75,224898
1030,Maze Runner: The Scorch Trials,(2015),6.3,43,214841
1031,Southpaw,(2015),7.4,57,212030
1032,The Divergent Series: Insurgent,(2015),6.2,42,211757
1033,Focus,(II) (2015),6.6,56,210733
1034,The Intern,(I) (2015),7.1,51,210686
1035,The Lobster,(2015),7.2,82,207888
1036,Minions,(2015),6.4,56,206704
1037,San Andreas,(2015),6.0,43,206153
1038,Everest,(2015),7.1,64,191877
1039,The Witch,(2015),6.9,83,186434
1040,Ted 2,(2015),6.3,48,179145
